chr15	26003055	26004347
chr15	26007354	26009802
chr15	26012427	26015263
chr15	26029266	26031477
chr15	26034573	26035194
chr15	26037745	26038378
chr15	26038400	26040519
chr15	26042340	26044763
chr15	26056773	26057400
chr15	26092140	26093013
chr15	26093850	26095993
chr15	26104781	26106089
chr15	26106180	26108996
chr15	26177666	26179979
chr15	26192016	26194568
chr15	26194769	26195358
chr15	26199188	26199820
chr15	26228787	26232255
chr15	26261340	26262250
chr15	26272586	26275721
chr15	26281360	26285099
chr15	26295076	26298938
chr15	26304519	26319090
chr15	26324861	26330427
chr15	26330649	26333702
chr15	26338487	26339530
chr15	26353964	26354965
chr15	26368910	26372117
chr15	26372163	26398073
chr15	26398411	26409803
chr15	26413821	26415191
chr15	26415351	26415975
chr15	26416125	26417182
chr15	26418778	26426031
chr15	26432365	26434794
chr15	26440919	26448012
chr15	26457241	26457834
chr15	26479940	26481193
chr15	26487421	26488485
chr15	26504855	26505866
chr15	26538900	26539582
chr15	26600497	26601489
chr15	26618867	26619836
chr15	26620035	26621551
chr15	26632588	26633904
chr15	26635219	26638973
chr15	26682496	26684040
chr15	26686819	26688823
chr15	26721164	26723316
chr15	26730824	26732901
chr15	26817422	26819173
chr15	26820594	26823342
chr15	26873434	26875859
chr15	26877188	26877767
chr15	26878083	26879937
chr15	26881696	26883985
chr15	26886005	26886593
chr15	26892568	26893490
chr15	26904062	26908861
chr15	26910975	26912172
chr15	26927543	26928291
chr15	26935890	26936502
chr15	26940445	26944868
chr15	26955842	26959462
chr15	26975834	26976587
